KEY: Mandatory(M)/Optional(X)/Conditional mandatory(C),,,,
Attributes,Description,Additional information,Examples,Mandatory/Optional/ Conditional Mandatory
Batch effects,"Detail any blocking or randomization used in study design to avoid confounding of batches with exposures or outcomes. Discuss any likely sources of batch effects, if known.","Sources of batch effects include sample collection, storage, library preparation, and sequencing and are commonly unavoidable in all but the smallest of studies.","Blocked by age, ethnicity, cycle phase. Sources: sample, storage, DNA, library, sequencing. Minimized by standard protocols and quality control",X
Metatranscriptomics,Detail whether any mRNA enrichment was performed and whether/how retrotranscription was performed prior to sequencing. Provide size range of isolated transcripts. Describe whether the sequencing library was stranded or not. Provide details on sequencing methods and platforms.,Provide details on any internal standards which may have been used as well as parameters and versions of any software or databases used.,"mRNA enriched, retrotranscribed, 200-600 bp, stranded, Illumina HiSeq 2500, 2x100 bp. No standards. Software: Trimmomatic, edgeR. Databases: NCBI RefSeq, KEGG,",C
Metaproteomics,"Detail which protease was used for digestion. Provide details on proteomic methods and platforms (e.g. LC-MS/MS, instrument type, column type, mass range, resolution, scan speed, maximum injection time, isolation window, normalised collision energy, and resolution).",Provide details on any internal standards which may have been used as well as parameters and versions of any software or databases used.," Trypsin digestion. LC-MS/MS, Orbitrap Fusion, C18 column, 400-1600 m/z, 120,000 resolution, 3 Hz scan speed, 50 ms max injection time, 1.6 m/z isolation window, 35% NCE, 15,000 resolution. No internal standards.Software: MaxQuant v1.6.17, Perseus v1.6.14. Databases: UniProtKB, MetaCyc",C
Metabolomics,"Specify the analytic method used (such as nuclear magnetic resonance spectroscopy or mass spectrometry). For mass spectrometry, detail which fractions were obtained (polar and/or non polar) and how these were analyzed. Provide details on metabolomics methods and platforms (e.g. derivatization, instrument type, injection type, column type and instrument settings).",Provide details on any internal standards which may have been used as well as parameters and versions of any software or databases used.,"Mass spectrometry, polar and non-polar fractions, derivatization with methoximation and silylation, GC-MS, splitless injection, DB-5MS column, 70 eV EI mode. Internal standard: ribitol. Software: AMDIS, R, MetaboAnalyst. Database: NIST, KEGG, HMDB",C
Data sources/ measurement,"For each non-microbiome variable, including the health condition, intervention, or other variable of interest, state how it was defined, how it was measured or collected, and any transformations applied to the variable prior to analysis.","State any sources of potential bias in measurements, for example multiple interviewers or measurement instruments, and whether these potential biases were assessed or accounted for in study design.

Use terms from a standardized ontology such as the Experimental Factor Ontology (https://www.ebi.ac.uk/efo/) to describe variables of interest in a standardized format.","measurement: BMI = weight/height^2, scale and stadiometer. BP = blood force, sphygmomanometer. Diet = food and drinks, recall questionnaire, food database. Biases: intake, measurement, and recall variability, repeated, standardized, and validated methods",X
Research design for causal inference,"Subgroup analysis by age, sex, and ethnicity. Interaction tests by Cox proportional hazards models. Kaplan-Meier curves and hazard ratios for results","For causal inference, this item refers to describing the assumptions that would be required to draw causal inferences from observational data. See Vujkovic-Cvijin, I., Sklar, J., Jiang, L. et al. Host variables confound gut microbiota studies of human disease. Nature 587, 448–454 (2020). https://doi.org/10.1038/s41586-020-2881-9 for more details on confounding in observational microbiome studies.

For example, hypothesized confounders may be controlled for by multivariable adjustment. Consider using a directed acyclic graph (DAG) to describe your causal model and justify any variables controlled for. DAGs can be made using www.dagitty.net.","Confounders: age, sex, BMI, etc. Controlled by regression. Rationale: reduce bias, estimate microbiota-IBD association",X
Selection bias,Discuss potential for selection or survival bias.,"Selection bias can occur when some members of the target study population are more likely to be included in the study/final analytic sample than others. Some examples include survival bias (where part of the target study population is more likely to die before they can be studied), convenience sampling (where members of the target study population are not selected at random), and loss to follow-up (when probability of dropping out is related to one of the things being studied).",Selection bias: Potential for convenience sampling due to recruitment from a single gynecology clinic. Potential for loss to follow-up due to patients' non-compliance or withdrawal from the study. These biases may affect the representativeness and comparability of the study population and the vaginal microbiome,X
Bioinformatic and Statistical Methods,"Describe any transformations to quantitative variables used in analyses (e.g. use of percentages instead of counts, normalization, rarefaction, categorization).","If a variable is analyzed using different transformations, state rationale for the transformation and for each analyses which version of the variable is used.

In case of any complex or multistep transformations, give enumerated instructions for reproducing those transformations.",QIIME2 and R used for analysis,M
Quality Control,Describe any methods to identify or filter low quality reads or samples.,"If samples were excluded based on quality or read depth, list the criteria used, the number of samples excluded, and the final sample size after quality control.",Read quality was checked with FastQC and low-quality bases and adapters were trimmed with Trimmomatic. Reads with mean quality < 25 or length < 50 bp were removed with PRINSEQ. Five samples with < 10 million reads were dropped. The final size was 95.,M
Sequence analysis,"Describe any taxonomic, functional profiling, or other sequence analysis performed.",,Taxonomic analysis with 16S rRNA gene sequencing and Vaginal 16S rDNA Reference Database to identify bacterial species and community types. Functional profiling with MetaTISA and KEGG to infer metabolic functions and pathways. Phylogenetic analysis with FastTree and GraPhlAn to compare evolutionary relationships and diversity,M
Statistical methods,Describe all statistical methods.,"Describe any statistical tests used, exploratory data analysis performed, dimension reduction methods/unsupervised analysis, alpha/beta metrics, and/or methods for adjusting for measurement bias.

If multiple statistical methods are possible, discuss why the methods used were selected.

If a multiple hypothesis testing correction method was used, describe the type of correction used.

State which taxonomic levels are analyzed.","Statistical analysis of the vaginal microbiota was done using R and vegan to test the differences in diversity, composition, and abundance of bacteria among groups. Exploratory data analysis was done using PCoA and hierarchical clustering to visualize the patterns and clusters of the microbiota. Dimension reduction was done using sPLS-DA to identify the key bacteria that discriminate between healthy and diseased women",X
Longitudinal analysis,"If the study is longitudinal, include a section that explicitly states what analysis methods were used (if any) to account for grouping of measurements by individual or patterns over time.",,"The study is longitudinal, with vaginal swabs from 20 women at four time points. Linear mixed models were used to test the effects of time and covariates on the microbiota diversity and composition. Generalized estimating equations were used to test the association between microbiota and outcomes. Dynamic Bayesian networks were used to model the temporal changes and causal relationships among bacteria",X
Subgroup analysis,Describe any methods used to examine subgroups and interactions.,,"Subgroup analysis by age, sex, and ethnicity. Interaction tests by Cox proportional hazards models. Kaplan-Meier curves and hazard ratios for results",X
Missing data,Explain how missing data were addressed.,"""Missing data"" refers to participant measurements such as covariates, exposures, outcomes, or time points that should have been collected but were not, not to zeros in taxonomic abundance tables or data points not applicable to that observation.",Multiple imputation method used to handle missing values,X
Sensitivity analyses,Describe any sensitivity analyses.,,"The number of samples per group and time point, to test the effect of sample size on the statistical power and significance of our findings",X
Findings,"State criteria used to select findings for reporting. For example, false discovery rate with total number of tests, effect size threshold, significance threshold, microbes of interest.",,"•  False discovery rate (FDR) <0.05 for multiple testing correction, considering the total number of tests performed for bacterial taxa and metabolic pathways.

•  Effect size threshold of log2 fold change >1 or <-1 for differential abundance analysis, indicating at least a twofold difference between groups.

•  Significance threshold of p-value <0.05 for network analysis, indicating a significant causal relationship between bacterial taxa",X
Software,"Cite all software (including read mapping software) and databases (including any used for taxonomic reference or annotating amplicons, if applicable) used. Include version numbers.","Installed packages, add-ons or libraries should be stated and cited in addition to the software used.

All parameters employed that differ from the default of that software/version should be provided. 

This is in addition to, not a replacement for, publishing of code as outlined in the section Reproducible Research.",Reads were mapped using Bowtie2 v2.2.3. Assemblies were performed using metaspades v3.15.3. ,X
Reproducible research,Make a statement about whether and how others can reproduce the reported analysis.,"Any protected information that has been excluded or provided under controlled access should be listed along with any relevant data access procedures. """"On request from authors"""" is not sufficiently detailed; formal data access procedures and conditions should be defined.

If data are unavailable, state so clearly.

Consider using a specialized rubric for reproducible research (such as: https://mbio.asm.org/content/9/3/e00525-18.short).

Consider preregistering the study protocol (such as on osf.io or https://plos.org/open-science/preregistration/).", Code and data available for reproducibility,X
Source code access,State where code may be accessed.,"If a standard or formalized workflow was employed, reference it here.",Code hosted on GitHub repository,X
Full results,"Provide full results of all analyses, in computer-readable format, in supplementary materials.","For example, any fold-changes, p-values, or FDR values calculated, provided as a spreadsheet.

Use a machine-readable, plain-text format such as csv or tsv.",See GitHub repository,X
Microbiome data,Report descriptive findings for microbiome analyses with all applicable outcomes and covariates.,This includes measures of diversity as well as relative abundances. These descriptive findings should be reported both for the sample overall and for individual groups.,Shannon diversity was positvely correlated with BV status,X
Taxonomy,Identify taxonomy using standardized taxon classifications that are sufficient to uniquely identify taxa.,"If not using full taxonomic hierarchy, make sure it is clear whether names stated are species, genera, family, etc.

Italicize genus/species pairs. Consult journal guidelines or standardized references on taxonomic nomenclature. For instance, https://wwwnc.cdc.gov/eid/page/scientific-nomenclature",Taxonomic assignments reported at the genus level,X
Other data types,"Report other data analyzed--e.g. metabolic function, functional potential, MAG assembly, and RNAseq.",,"Our results confirm the previous findings that BV is associated with a shift in the vaginal microbiome from a Lactobacillus-dominated state to a polymicrobial state with increased anaerobic bacteria. This may have implications for the diagnosis and treatment of BV, as well as for the understanding of its pathophysiology and complications",X
Key results,Summarise key results with reference to study objectives,,"Women with BV had lower diversity and higher variability of the vaginal microbiome than healthy women. The vaginal microbiome of healthy women was dominated by Lactobacillus spp., while the vaginal microbiome of women with BV was characterized by a higher abundance of anaerobic bacteria, such as Gardnerella, Prevotella, Atopobium, and Sneathia.",X
Interpretation,"Give a cautious overall interpretation of results considering objectives, limitations, multiplicity of analyses, results from similar studies, and other relevant evidence.","Define or clarify any subjective terms such as """"dominant,"""" """"dysbiosis,"""" and similar words used in interpretation of results.

When interpreting the findings, consider how the interpretation of the findings may be summarized or quoted for the general public such as in press releases or news articles.

If causal language is used in the interpretation (such as """"alters,"""" """"affects,"""" """"results in,"""" """"causes,"""" or """"impacts""""), assumptions made for causal inference should be explicitly stated as part of 6.0 and 13.0.

Distinguish between function potential (ie inferred from metagenomics) and observed activity (ie metatranscriptomic, metabolomic, proteomic) if discussing microbial function.","Our results confirm the previous findings that BV is associated with a shift in the vaginal microbiome from a Lactobacillus-dominated state to a polymicrobial state with increased anaerobic bacteria. This may have implications for the diagnosis and treatment of BV, as well as for the understanding of its pathophysiology and complications",X
Funding,Give the source of funding and the role of the funders for the present study,,BMGF,X
Acknowledgements,Include acknowledgements of those who contributed to the research but did not meet critera for authorship.,"For general guidelines on authorship, see http://www.icmje.org and https://www.elsevier.com/authors/journal-authors/policies-and-ethics/credit-author-statement",,X
Conflicts of Interest,Include a conflicts of interest statement.,,,X
Supplements,Indicate where supplements may be accessed and what materials they contain.,,,X
Supplementary data,Provide supplementary data files of results with for all taxa and all outcome variables analyzed. Indicate the taxonomic level of all taxa.,"Depending on the analysis performed, examples of the supplemental results included could be mean relative abundance, differential abundance, raw p-value, multiple hypothesis testing-adjusted p-values, and standard error.

All discussed taxa should include the taxonomic level (e.g. class, order, genus).","•        Relative abundance:
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7136476/bin/Data_Sheet_1.PDF

•        Alpha-diversity 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9152327/bin/Presentation_1.pdf

•        Beta-diversity 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9769055/bin/12866_2022_2730_MOESM3_ESM.tif

•        Principal Coordinate Analysis (PCoA) 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8988226/bin/Image_1.tiff

•        Functional and Metabolic pathways identified by HUManN2 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9241848/bin/spectrum.00105-22-s0001.pdf

•        Longitudinal taxonomic composition of the metagenome and metatranscriptome:
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8886902/bin/13059_2022_2635_MOESM1_ESM.pdf
",X
